Year_Month,Monthly_Start_Equity,Equity,Monthly_PnL,Monthly_Return_Pct
2013-06,97250.0,93250.0,-4000.0,-4.113110539845758
2013-07,93250.0,91750.0,-1500.0,-1.6085790884718498
2013-08,91750.0,92250.0,500.0,0.544959128065395
2013-09,92250.0,92250.0,0.0,0.0
2013-10,92250.0,92250.0,0.0,0.0
2013-11,92250.0,92250.0,0.0,0.0
2013-12,92250.0,95000.0,2750.0,2.9810298102981028
2014-01,95000.0,97750.0,2750.0,2.8947368421052633
2014-02,97750.0,97750.0,0.0,0.0
2014-03,97750.0,101000.0,3250.0,3.324808184143223
2014-04,101000.0,106500.0,5500.0,5.445544554455446
2014-05,106500.0,113250.0,6750.0,6.338028169014084
2014-06,113250.0,137000.0,23750.0,20.97130242825607
2014-07,137000.0,159500.0,22500.0,16.423357664233578
2014-08,159500.0,163000.0,3500.0,2.19435736677116
2014-09,163000.0,171250.0,8250.0,5.061349693251533
2014-10,171250.0,167000.0,-4250.0,-2.4817518248175183
2014-11,167000.0,168750.0,1750.0,1.0479041916167664
2014-12,168750.0,169000.0,250.0,0.14814814814814814
2015-01,169000.0,176000.0,7000.0,4.142011834319527
2015-02,176000.0,177250.0,1250.0,0.7102272727272727
2015-03,177250.0,178750.0,1500.0,0.846262341325811
2015-04,178750.0,192750.0,14000.0,7.8321678321678325
2015-05,192750.0,189250.0,-3500.0,-1.8158236057068744
2015-06,189250.0,200500.0,11250.0,5.9445178335535
2015-07,200500.0,204750.0,4250.0,2.119700748129676
2015-08,204750.0,212750.0,8000.0,3.907203907203907
2015-09,212750.0,211500.0,-1250.0,-0.5875440658049353
2015-10,211500.0,219250.0,7750.0,3.664302600472813
2015-11,219250.0,220750.0,1500.0,0.6841505131128849
2015-12,220750.0,224750.0,4000.0,1.8120045300113252
2016-01,224750.0,229000.0,4250.0,1.8909899888765296
2016-02,229000.0,208750.0,-20250.0,-8.842794759825328
2016-03,208750.0,209250.0,500.0,0.23952095808383234
2016-04,209250.0,220250.0,11000.0,5.256869772998805
2016-05,220250.0,222750.0,2500.0,1.1350737797956867
2016-06,222750.0,225000.0,2250.0,1.0101010101010102
2016-07,225000.0,227750.0,2750.0,1.2222222222222223
2016-08,227750.0,226750.0,-1000.0,-0.43907793633369924
2016-09,226750.0,230500.0,3750.0,1.6538037486218304
2016-10,230500.0,248500.0,18000.0,7.809110629067245
