Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
33,17,BUY (ENTRY),2010-04-29,SOLARINDS.NS,Weekly,80.03,133,87.29,11609.570000000002,0.0,0.0,0.0,0.0,87890.65000000001,1:2,OPEN,N/A
34,16,SELL (EXIT),2010-05-05,SOLARINDS.NS,Weekly,83.2,133,79.81,11609.570000000002,-994.84,40.7,-1035.54,-8.919710204598447,110074.25000000001,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0016_SOLARINDS.NS_2010-04-29_LOSS.png
35,17,SELL (EXIT),2010-05-05,SOLARINDS.NS,Weekly,80.03,133,79.81,11609.570000000002,-994.84,40.7,-1035.54,-8.919710204598447,109038.71000000002,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0017_SOLARINDS.NS_2010-04-29_LOSS.png
36,18,BUY (ENTRY),2010-05-06,MFSL.NS,Monthly,167.25,81,178.13,14428.529999999999,0.0,0.0,0.0,0.0,94610.18000000002,1:2,OPEN,N/A
37,19,BUY (ENTRY),2010-05-06,MFSL.NS,Monthly,167.25,81,178.13,14428.529999999999,0.0,0.0,0.0,0.0,80181.65000000002,1:2,OPEN,N/A
38,18,SELL (EXIT),2010-05-27,MFSL.NS,Monthly,167.25,81,165.83,14428.529999999999,-996.3,46.96,-1043.26,-7.230535612428987,107995.45000000003,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0018_MFSL.NS_2010-05-06_LOSS.png
39,19,SELL (EXIT),2010-05-27,MFSL.NS,Monthly,167.25,81,165.83,14428.529999999999,-996.3,46.96,-1043.26,-7.230535612428987,106952.19000000003,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0019_MFSL.NS_2010-05-06_LOSS.png
40,20,BUY (ENTRY),2010-05-27,VEDL.NS,Weekly,332.15,40,328.23,13129.2,0.0,0.0,0.0,0.0,93822.99000000003,1:2,OPEN,N/A
41,21,BUY (ENTRY),2010-05-27,DLF.NS,Weekly,281.6,139,266.12,36990.68,0.0,0.0,0.0,0.0,56832.31000000003,1:2,OPEN,N/A
42,21,SELL (EXIT),2010-05-28,DLF.NS,Weekly,281.6,139,280.47,36990.68,1994.65,100.21,1894.44,5.121398146776431,108846.63000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0021_DLF.NS_2010-05-27_PROFIT.png
43,22,BUY (ENTRY),2010-05-28,ALOKINDS.NS,Monthly,18.01,2296,18.33,42085.67999999999,0.0,0.0,0.0,0.0,53631.750000000044,1:2,OPEN,N/A
44,20,SELL (EXIT),2010-05-31,VEDL.NS,Weekly,332.15,40,377.49,13129.2,1970.4,47.15,1923.25,14.648645766687993,110769.88000000003,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0020_VEDL.NS_2010-05-27_PROFIT.png
45,22,SELL (EXIT),2010-05-31,ALOKINDS.NS,Monthly,18.01,2296,19.2,42085.67999999999,1997.52,111.53,1885.99,4.481310507517047,112655.87000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0022_ALOKINDS.NS_2010-05-28_PROFIT.png
46,23,BUY (ENTRY),2010-05-31,OSWALGREEN.NS,Monthly,15.8,1137,15.01,17066.37,0.0,0.0,0.0,0.0,95589.50000000004,1:2,OPEN,N/A
47,24,BUY (ENTRY),2010-05-31,OSWALGREEN.NS,Monthly,15.8,1137,15.01,17066.37,0.0,0.0,0.0,0.0,78523.13000000003,1:2,OPEN,N/A
48,23,SELL (EXIT),2010-06-04,OSWALGREEN.NS,Monthly,15.8,1137,16.77,17066.37,2001.12,55.93,1945.19,11.397795781996994,114601.06000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0023_OSWALGREEN.NS_2010-05-31_PROFIT.png
49,24,SELL (EXIT),2010-06-04,OSWALGREEN.NS,Monthly,15.8,1137,16.77,17066.37,2001.12,55.93,1945.19,11.397795781996994,116546.25000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0024_OSWALGREEN.NS_2010-05-31_PROFIT.png
50,25,BUY (ENTRY),2010-06-04,GILLANDERS.NS,Weekly,86.67,165,93.69,15458.85,0.0,0.0,0.0,0.0,101087.40000000004,1:2,OPEN,N/A
51,26,BUY (ENTRY),2010-06-07,AQYLON.NS,Weekly,2615.0,1,3388.38,3388.38,0.0,0.0,0.0,0.0,97699.02000000005,1:2,OPEN,N/A
52,25,SELL (EXIT),2010-09-09,GILLANDERS.NS,Weekly,86.67,165,105.79,15458.85,1996.5,52.36,1944.14,12.576226562777956,118490.39000000004,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0025_GILLANDERS.NS_2010-06-04_PROFIT.png
53,27,BUY (ENTRY),2010-07-01,ENGINERSIN.NS,Weekly,155.75,163,160.99,26241.370000000003,0.0,0.0,0.0,0.0,88860.64000000004,1:2,OPEN,N/A
